City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Hostinne,CZ,50.5407,15.7233,37.69,85,99,14.0,overcast clouds
295,Manakara,MG,-22.1333,48.0167,71.56,85,25,2.51,light rain
296,Pokhara,NP,28.2333,83.9833,51.15,70,84,0.54,broken clouds
297,Bella Vista,US,36.4295,-94.2316,57.47,35,0,0.0,clear sky
298,Bowen,AU,-20.0167,148.2333,79.02,71,33,9.62,scattered clouds
299,Pizhma,RU,57.8642,47.1171,13.53,97,97,4.41,overcast clouds
300,Marakkanam,IN,12.2,79.95,74.95,81,46,4.16,scattered clouds
301,Rassvet,RU,46.8333,40.75,34.57,99,100,8.95,overcast clouds
302,Cherskiy,RU,68.75,161.3,-28.21,99,98,1.63,overcast clouds
303,Marawi,PH,7.9986,124.2928,66.65,83,44,1.41,scattered clouds
304,Saint-Francois,FR,46.4154,3.9054,38.68,93,75,0.0,mist
305,Shingu,JP,33.7333,135.9833,43.92,55,30,5.28,scattered clouds
306,Halifax,CA,44.6453,-63.5724,25.21,78,87,4.0,overcast clouds
307,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,88,40,22.3,scattered clouds
308,La Ronge,CA,55.1001,-105.2842,12.45,79,100,5.75,overcast clouds
309,Port-Cartier,CA,50.0334,-66.8654,9.75,84,72,10.18,broken clouds
310,Erenhot,CN,43.6475,111.9767,3.65,88,100,15.08,overcast clouds
311,Bonthe,SL,7.5264,-12.505,77.05,89,12,4.32,few clouds
312,Hamilton,US,39.1834,-84.5333,35.35,70,20,1.01,few clouds
313,Lavrentiya,RU,65.5833,-171.0,-5.03,91,6,4.23,clear sky
314,Burgos,ES,42.3394,-3.7079,25.21,86,0,0.0,clear sky
315,Sal Rei,CV,16.1833,-22.9167,68.56,75,100,20.62,overcast clouds
316,Aktas,KZ,49.7789,72.9608,13.75,94,100,12.48,light snow
317,Kahului,US,20.8947,-156.47,84.22,44,20,11.5,few clouds
318,San Cristobal,VE,7.7669,-72.225,68.18,91,97,3.09,overcast clouds
319,Manta,EC,-0.95,-80.7333,76.78,83,100,3.44,overcast clouds
320,Dhadar,IN,28.3305,75.0632,56.79,27,0,2.01,clear sky
321,Kazerun,IR,29.6195,51.6541,50.7,47,80,1.48,broken clouds
322,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.51,96,100,1.1,overcast clouds
323,Sur,OM,22.5667,59.5289,70.07,68,0,2.89,clear sky
324,Visnes,NO,59.3556,5.2242,35.65,75,100,12.66,overcast clouds
325,Te Anau,NZ,-45.4167,167.7167,71.46,61,34,2.37,scattered clouds
326,Isla Mujeres,MX,21.2311,-86.731,71.17,63,91,9.8,overcast clouds
327,Leamington,CA,42.0549,-82.6062,26.04,68,83,1.01,broken clouds
328,Khandyga,RU,62.6667,135.6,-38.07,100,82,0.65,broken clouds
329,Olafsvik,IS,64.8945,-23.7142,27.54,55,100,25.48,overcast clouds
330,Mount Isa,AU,-20.7333,139.5,78.57,94,75,13.8,broken clouds
331,Marystown,CA,47.1666,-55.1483,36.86,100,97,1.99,overcast clouds
332,Airai,TL,-8.9266,125.4092,66.16,77,87,4.74,overcast clouds
333,Ketchikan,US,55.3422,-131.6461,35.58,93,100,6.91,light snow
334,Meiganga,CM,6.5167,14.3,65.19,22,67,6.87,broken clouds
335,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,77,0,8.99,clear sky
336,Kyren,RU,51.6828,102.1408,-5.4,84,45,1.34,scattered clouds
337,Huambo,AO,-12.7761,15.7392,57.6,97,100,3.56,overcast clouds
338,Abaza,RU,52.655,90.0928,-6.5,97,20,3.4,few clouds
339,Fairbanks,US,64.8378,-147.7164,-7.4,75,0,0.0,clear sky
340,Vestmannaeyjar,IS,63.4427,-20.2734,31.77,63,100,36.86,light snow
341,Rodrigues Alves,BR,-7.738,-72.6509,72.27,98,99,3.36,overcast clouds
342,La Rioja,ES,42.25,-2.5,36.05,65,0,5.57,clear sky
343,Kalulushi,ZM,-12.8378,28.0919,62.11,99,100,2.1,moderate rain
344,Changji,CN,44.0167,87.3167,-1.41,84,75,2.24,mist
